iter	Passed	Remaining
0	51	51013
1	113	56555
2	172	57251
3	230	57443
4	289	57601
5	356	59132
6	425	60418
7	500	62073
8	571	62952
9	639	63350
10	702	63172
11	760	62636
12	820	62328
13	883	62224
14	948	62295
15	1012	62274
16	1078	62378
17	1145	62498
18	1211	62568
19	1275	62475
20	1342	62575
21	1406	62516
22	1473	62571
23	1536	62464
24	1601	62469
25	1665	62383
26	1729	62341
27	1794	62304
28	1854	62090
29	1916	61961
30	1979	61862
31	2040	61723
32	2102	61601
33	2164	61487
34	2228	61455
35	2294	61452
36	2360	61430
37	2425	61391
38	2490	61378
39	2553	61294
40	2615	61181
41	2675	61031
42	2739	60963
43	2805	60950
44	2870	60922
45	2937	60918
46	3001	60853
47	3062	60747
48	3126	60688
49	3191	60644
50	3255	60580
51	3319	60517
52	3379	60386
53	3440	60279
54	3502	60187
55	3563	60072
56	3626	59990
57	3686	59878
58	3748	59784
59	3808	59664
60	3870	59583
61	3930	59466
62	3993	59400
63	4057	59347
64	4118	59248
65	4181	59169
66	4243	59093
67	4305	59011
68	4365	58906
69	4429	58847
70	4490	58755
71	4552	58670
72	4612	58575
73	4673	58485
74	4734	58394
75	4796	58312
76	4865	58318
77	4934	58330
78	4997	58259
79	5060	58192
80	5125	58151
81	5196	58170
82	5261	58132
83	5324	58062
84	5384	57960
85	5449	57914
86	5516	57895
87	5584	57871
88	5646	57797
89	5708	57714
90	5770	57640
91	5835	57589
92	5901	57554
93	5967	57511
94	6031	57457
95	6101	57459
96	6178	57516
97	6254	57569
98	6329	57605
99	6399	57594
100	6466	57558
101	6533	57523
102	6595	57440
103	6659	57375
104	6725	57329
105	6792	57283
106	6857	57228
107	6921	57168
108	6987	57121
109	7054	57080
110	7121	57038
111	7188	56991
112	7252	56932
113	7316	56867
114	7378	56779
115	7441	56709
116	7506	56653
117	7574	56616
118	7644	56591
119	7709	56534
120	7774	56480
121	7839	56420
122	7909	56395
123	7975	56342
124	8041	56288
125	8105	56225
126	8170	56164
127	8231	56074
128	8297	56021
129	8362	55966
130	8427	55902
131	8494	55858
132	8560	55802
133	8620	55712
134	8685	55653
135	8747	55573
136	8813	55517
137	8875	55438
138	8936	55352
139	9000	55289
140	9061	55204
141	9125	55135
142	9185	55050
143	9247	54973
144	9310	54897
145	9372	54821
146	9444	54806
147	9512	54759
148	9576	54692
149	9639	54626
150	9701	54544
151	9761	54459
152	9823	54379
153	9893	54348
154	9959	54296
155	10022	54223
156	10083	54142
157	10150	54091
158	10221	54063
159	10284	53994
160	10343	53902
161	10405	53824
162	10472	53778
163	10540	53728
164	10602	53655
165	10663	53575
166	10730	53523
167	10798	53478
168	10861	53408
169	10921	53321
170	10984	53253
171	11052	53208
172	11117	53145
173	11179	53072
174	11239	52984
175	11308	52942
176	11373	52881
177	11440	52829
178	11502	52757
179	11562	52673
180	11628	52617
181	11697	52575
182	11770	52551
183	11849	52548
184	11926	52539
185	11996	52500
186	12065	52455
187	12132	52402
188	12197	52338
189	12259	52263
190	12319	52179
191	12383	52111
192	12447	52048
193	12512	51984
194	12575	51915
195	12639	51847
196	12705	51787
197	12770	51728
198	12836	51670
199	12904	51617
200	12968	51552
201	13032	51485
202	13099	51430
203	13158	51345
204	13217	51258
205	13282	51196
206	13346	51130
207	13409	51058
208	13471	50986
209	13533	50913
210	13596	50841
211	13658	50766
212	13720	50694
213	13784	50630
214	13852	50576
215	13929	50560
216	14009	50548
217	14081	50511
218	14151	50467
219	14223	50428
220	14293	50382
221	14359	50322
222	14419	50242
223	14481	50167
224	14548	50110
225	14617	50061
226	14688	50020
227	14759	49974
228	14826	49917
229	14890	49849
230	14953	49780
231	15017	49714
232	15087	49664
233	15154	49607
234	15219	49542
235	15283	49476
236	15350	49420
237	15415	49355
238	15481	49294
239	15547	49232
240	15615	49178
241	15680	49114
242	15744	49049
243	15808	48980
244	15873	48917
245	15940	48858
246	16005	48794
247	16070	48731
248	16134	48662
