sample number,time,species number,樹種,含水率,4000-4100,4100-4200,4200-4300,4300-4400,4400-4500,4500-4600,4600-4700,4700-4800,4800-4900,4900-5000,5000-5100,5100-5200,5200-5300,5300-5400,5400-5500,5500-5600,5600-5700,5700-5800,5800-5900,5900-6000,6000-6100,6100-6200,6200-6300,6300-6400,6400-6500,6500-6600,6600-6700,6700-6800,6800-6900,6900-7000,7000-7100,7100-7200,7200-7300,7300-7400,7400-7500,7500-7600,7600-7700,7700-7800,7800-7900,7900-8000,8000-8100,8100-8200,8200-8300,8300-8400,8400-8500,8500-8600,8600-8700,8700-8800,8800-8900,8900-9000,9000-9100,9100-9200,9200-9300,9300-9400,9400-9500,9500-9600,9600-9700,9700-9800,9800-9900,9900-10000
1,1,1,イチョウ,216.1290323,1.237228,1.1958815384615384,1.1445230769230768,1.0803034615384615,1.0269592307692308,1.0004142307692308,1.0546034615384616,1.1224184615384618,1.182378846153846,1.2385373076923076,1.2885050000000002,1.3092549999999998,1.2517926923076923,0.9669346153846152,0.8134091999999999,0.8148811538461536,0.8023753846153845,0.7593953846153847,0.7335119230769231,0.7255265384615386,0.7319780769230769,0.7545046153846152,0.7918480769230769,0.8335784615384617,0.8845976923076921,0.9432253846153844,1.0029961538461538,1.0611756000000003,1.0922353846153845,1.0846534615384613,1.0321380769230766,0.8861907692307691,0.6837303846153845,0.6013915384615385,0.5685884615384615,0.5277011538461538,0.49773153846153867,0.4819676923076923,0.47690615384615387,0.4772757692307692,0.48083730769230765,0.486,0.4901715384615384,0.49166692307692306,0.48785730769230773,0.48241038461538444,0.4714311538461538,0.44280153846153847,0.41404615384615384,0.4017403846153846,0.39890884615384614,0.3973657692307693,0.3957884615384616,0.39501307692307697,0.3954811999999999,0.3980434615384615,0.4018038461538461,0.405781923076923,0.4098446153846154,0.41341160000000005
2,2,1,イチョウ,210.7526882,1.2079448,1.1595973076923078,1.111356923076923,1.0499311538461535,0.9992007692307693,0.9728576923076921,1.0290423076923079,1.0968223076923076,1.1567326923076922,1.2162799999999998,1.2777661538461538,1.3136296153846154,1.240065,0.9390519230769231,0.7965448000000002,0.7996846153846153,0.789803846153846,0.7499899999999999,0.7263761538461538,0.7193934615384616,0.7259488461538464,0.7480688461538463,0.7839823076923077,0.8237965384615387,0.8728715384615385,0.9289892307692309,0.9860973076923079,1.0421768,1.0720315384615384,1.0619253846153844,1.0062926923076922,0.8638015384615384,0.6735461538461537,0.5968930769230769,0.5667126923076924,0.5281184615384615,0.4999007692307692,0.48518038461538465,0.48061230769230767,0.4811419230769231,0.48461115384615383,0.4896479999999999,0.4937192307692308,0.49486961538461544,0.49075653846153844,0.48483961538461534,0.4736323076923077,0.4461361538461538,0.41909538461538454,0.4073276923076923,0.40465769230769233,0.4032665384615384,0.4018976923076924,0.40118076923076906,0.4017516,0.40423538461538466,0.4079142307692308,0.4119092307692308,0.41572,0.419084
3,3,1,イチョウ,205.9139785,1.1550003999999998,1.1051973076923078,1.059435384615385,1.0021553846153848,0.9544346153846157,0.9292419230769232,0.9811684615384615,1.045010769230769,1.0991365384615386,1.1541673076923074,1.215213076923077,1.2525996153846153,1.1775880769230773,0.8950207692307691,0.765772,0.7691707692307692,0.7600123076923075,0.7232607692307691,0.7013765384615384,0.6946638461538461,0.7006246153846155,0.7210076923076922,0.7539573076923076,0.7902938461538462,0.8348011538461537,0.8857269230769229,0.937093076923077,0.9881292000000002,1.014813846153846,1.0052511538461537,0.9536419230769227,0.823551923076923,0.6490984615384616,0.5778353846153845,0.5499296153846154,0.513576923076923,0.48683346153846146,0.47279615384615387,0.46853576923076923,0.46907499999999985,0.4723346153846154,0.47721959999999997,0.48097,0.48196,0.47796923076923076,0.47219192307692304,0.4613565384615385,0.43513192307692317,0.4090980769230769,0.39774923076923085,0.39522653846153843,0.393965,0.39254230769230775,0.39205192307692316,0.3924892,0.3948634615384616,0.39828076923076916,0.4018792307692308,0.40561076923076933,0.4088824000000001
4,4,1,イチョウ,201.0752688,1.1048727999999999,1.0587323076923079,1.0148307692307692,0.9606049999999999,0.9152957692307692,0.8900623076923075,0.9383507692307691,0.9985303846153847,1.0488184615384617,1.100914230769231,1.1636238461538464,1.2042776923076923,1.127078076923077,0.854546153846154,0.7357056,0.7396011538461538,0.7312192307692307,0.6968761538461539,0.6762103846153849,0.6698592307692307,0.675555,0.6945357692307691,0.7253815384615383,0.7588265384615386,0.7994234615384616,0.8457115384615386,0.8923538461538462,0.9398956000000002,0.9650411538461541,0.9555938461538462,0.9066438461538462,0.7860361538461537,0.6253542307692306,0.5588973076923078,0.5329049999999999,0.4988396153846153,0.4737042307692307,0.46042,0.45628038461538456,0.45668384615384616,0.45975384615384624,0.4643184,0.4679815384615384,0.46904923076923083,0.46520230769230775,0.45960461538461544,0.4491873076923077,0.42412769230769237,0.39943307692307695,0.38851,0.3861273076923078,0.3850176923076922,0.38352692307692304,0.38297307692307686,0.38334919999999995,0.38565000000000005,0.38912999999999986,0.3925957692307692,0.3959003846153847,0.39908160000000004
5,5,1,イチョウ,196.2365591,1.0492948000000002,0.9947176923076921,0.9543226923076922,0.9062719230769232,0.8655546153846154,0.840616538461538,0.8856642307692308,0.9393026923076924,0.983346923076923,1.0290634615384613,1.0891734615384616,1.129497307692308,1.0530261538461536,0.8056965384615384,0.7000084,0.7043153846153847,0.6967223076923078,0.6658723076923077,0.6466273076923077,0.6405146153846155,0.6459149999999999,0.6633542307692306,0.6913234615384616,0.7213538461538462,0.7575976923076925,0.7982026923076921,0.8388650000000002,0.8809359999999999,0.9038365384615384,0.8952234615384614,0.8506019230769231,0.7425888461538462,0.5979807692307693,0.5370207692307692,0.5134319230769231,0.4817273076923077,0.45812730769230764,0.4458138461538461,0.4419615384615385,0.4422503846153846,0.445008076923077,0.44924879999999995,0.4527073076923077,0.4535823076923077,0.4501334615384615,0.44474423076923075,0.43475807692307694,0.41095576923076926,0.3875784615384616,0.37716538461538457,0.3749846153846154,0.3739569230769231,0.37254769230769236,0.3719857692307692,0.3724004,0.37444923076923076,0.37766384615384613,0.38100153846153856,0.38405846153846146,0.38681960000000004
6,6,1,イチョウ,191.3978495,0.9934107999999999,0.9420807692307689,0.9056734615384615,0.861245769230769,0.8231284615384614,0.7991115384615386,0.8408107692307696,0.890353076923077,0.9286992307692307,0.9705284615384616,1.0265192307692308,1.0667346153846151,0.99081,0.7635269230769232,0.668658,0.6732215384615383,0.6661199999999999,0.6379776923076924,0.6204984615384616,0.614168846153846,0.6189276923076924,0.6353669230769232,0.6611284615384615,0.6884592307692308,0.7208780769230768,0.7573384615384616,0.7929669230769232,0.8308792000000003,0.8511769230769228,0.8428969230769232,0.8021115384615384,0.7042761538461538,0.5729326923076923,0.5165584615384616,0.49507307692307695,0.46543115384615386,0.44321730769230777,0.4315423076923077,0.42792076923076927,0.4283038461538462,0.4308496153846153,0.43483119999999986,0.4380723076923077,0.4388065384615384,0.43546692307692325,0.4304315384615384,0.4207857692307692,0.3982596153846155,0.3760396153846154,0.3659357692307692,0.3639780769230769,0.3630461538461539,0.3618461538461539,0.36110653846153845,0.3614443999999999,0.36350038461538453,0.36639576923076933,0.36948730769230775,0.37248884615384614,0.3750932
7,7,1,イチョウ,186.5591398,0.966764,0.9191784615384614,0.8830542307692306,0.8400857692307693,0.8027465384615383,0.7781411538461539,0.8190134615384616,0.8676000000000001,0.9045342307692308,0.9456253846153846,1.001115,1.0422303846153844,0.9645026923076924,0.742223076923077,0.6521596000000001,0.6569453846153845,0.6501930769230769,0.6229388461538463,0.6063865384615384,0.6002107692307692,0.6046419230769231,0.6201623076923078,0.6451461538461539,0.6713953846153847,0.7021411538461539,0.7368050000000002,0.7705865384615384,0.8069696000000001,0.82688,0.8183238461538462,0.7781688461538463,0.6840773076923076,0.5589338461538461,0.5050915384615384,0.48485846153846146,0.4562346153846154,0.43492461538461546,0.4235884615384614,0.41998576923076925,0.42033538461538467,0.42277192307692324,0.42662680000000003,0.42972230769230774,0.430538076923077,0.4270661538461538,0.4221803846153846,0.41285000000000005,0.3910180769230769,0.3693919230769231,0.35942999999999997,0.35758153846153845,0.356785,0.3555323076923077,0.35490846153846145,0.355078,0.3571911538461538,0.3601003846153847,0.36290192307692315,0.36604461538461536,0.36838519999999997
8,8,1,イチョウ,182.2580645,0.9307116,0.8805903846153846,0.8465661538461539,0.805255,0.770136923076923,0.7471950000000002,0.784911153846154,0.8299642307692309,0.8638773076923074,0.9009423076923079,0.9536634615384614,0.9934203846153846,0.9174399999999999,0.7093426923076923,0.6266131999999999,0.6318334615384616,0.6256492307692307,0.5998573076923076,0.5841361538461538,0.5781326923076924,0.5822307692307692,0.596798076923077,0.6198607692307692,0.6441715384615383,0.6723026923076922,0.7036253846153847,0.7342561538461538,0.7674539999999999,0.7856476923076924,0.7776942307692309,0.7399853846153847,0.6524657692307692,0.5367657692307692,0.4864788461538461,0.46780730769230777,0.4409046153846154,0.42061423076923077,0.4097692307692309,0.40638923076923084,0.40657461538461537,0.40881615384615383,0.41247560000000005,0.4152607692307693,0.4159065384615385,0.4126607692307693,0.4079526923076923,0.39873846153846154,0.37775115384615376,0.3572496153846153,0.34766615384615385,0.34583346153846156,0.3449896153846153,0.3438242307692307,0.3432203846153846,0.34325279999999997,0.34521576923076924,0.3480103846153846,0.35062499999999996,0.35355461538461547,0.35546639999999996
9,9,1,イチョウ,177.4193548,0.8850879999999998,0.8368261538461538,0.808089230769231,0.7693284615384617,0.735188076923077,0.7130746153846155,0.748793076923077,0.79084,0.8210842307692309,0.8529199999999999,0.9014538461538463,0.9390915384615384,0.8655069230769227,0.675016153846154,0.6000679999999999,0.6055492307692307,0.5996523076923077,0.57564,0.5606173076923079,0.5547815384615385,0.5585184615384615,0.5722480769230769,0.59394,0.6161484615384616,0.641543846153846,0.6697042307692308,0.6968592307692306,0.7273892000000001,0.7437811538461537,0.736205,0.7008719230769229,0.6201796153846153,0.5136496153846155,0.46650653846153856,0.44935230769230766,0.42426730769230764,0.404958076923077,0.3945115384615386,0.3911815384615385,0.3913896153846155,0.3935238461538461,0.3969096,0.39948423076923084,0.40001576923076915,0.39689192307692306,0.39230538461538467,0.3832730769230769,0.36319346153846155,0.3434392307692308,0.33414884615384605,0.3324392307692308,0.3315123076923078,0.33041192307692313,0.32977461538461533,0.32989759999999996,0.33161423076923074,0.33434499999999995,0.33699000000000007,0.3395903846153846,0.3414232
10,10,1,イチョウ,173.1182796,0.8454100000000001,0.7993503846153848,0.7716834615384615,0.7358546153846154,0.7030942307692308,0.6799850000000001,0.7144915384615385,0.754283846153846,0.7817919230769232,0.8110903846153849,0.8580684615384615,0.8942426923076922,0.8210692307692307,0.6404815384615384,0.5717996000000001,0.5774123076923077,0.5720215384615386,0.549313076923077,0.5349634615384615,0.5290838461538461,0.5326084615384615,0.5454084615384616,0.5660953846153846,0.586443076923077,0.6100549999999999,0.6358253846153844,0.6606653846153846,0.68885,0.7037699999999998,0.6962011538461539,0.6622080769230768,0.5867042307692308,0.48781,0.443515,0.42748076923076916,0.4036684615384615,0.3853973076923075,0.37558115384615376,0.37223769230769227,0.37231423076923087,0.37429653846153843,0.3775583999999999,0.3800423076923077,0.3805396153846153,0.37732307692307704,0.37291730769230763,0.36421576923076915,0.34492192307692293,0.3257353846153847,0.3168723076923078,0.3153223076923077,0.31450384615384613,0.31324615384615373,0.31256653846153853,0.31255199999999994,0.3142053846153846,0.3167788461538461,0.319178076923077,0.32182846153846156,0.32387200000000005
