sample number,time,species number,樹種,含水率,4000-5000,5000-6000,6000-7000,7000-8000,8000-9000,9000-10000
1,1,1,イチョウ,216.1290323,1.1279042857142851,0.9470727799227802,0.9175267953667949,0.6233621538461541,0.46481478764478773,0.4011186821705425
2,2,1,イチョウ,210.7526882,1.0995597297297293,0.9357660231660229,0.9040576061776063,0.6182200000000001,0.4683817760617761,0.4071364728682168
3,3,1,イチョウ,205.9139785,1.0480835907335901,0.895968532818533,0.8626874131274133,0.5964874615384618,0.45651849420849433,0.39755507751938013
4,4,1,イチョウ,201.0752688,1.0027083397683396,0.8603792664092671,0.8247891119691122,0.5755764615384615,0.4446411196911197,0.38831286821705446
5,5,1,イチョウ,196.2365591,0.9444121621621613,0.8135822007722007,0.7792697683397678,0.5511504615384613,0.43051613899613883,0.3769664728682169
6,6,1,イチョウ,191.3978495,0.8951262162162167,0.7732257142857145,0.7396510038610038,0.5287367307692304,0.41687884169884165,0.36581984496124015
7,7,1,イチョウ,186.5591398,0.8723110424710425,0.7542833204633201,0.7199705791505788,0.5166198846153844,0.4090921235521236,0.3594331782945737
8,8,1,イチョウ,182.2580645,0.8356493822393825,0.7223771814671818,0.6880989189189191,0.4967754999999997,0.39538204633204627,0.3473840697674418
9,9,1,イチョウ,177.4193548,0.795779691119691,0.6880761776061778,0.6553567181467187,0.4756868076923076,0.3802544787644788,0.33378542635658925
10,10,1,イチョウ,173.1182796,0.7593726254826255,0.6551662162162157,0.6223364092664091,0.45169169230769207,0.36138003861003865,0.31639135658914724
11,11,1,イチョウ,168.2795699,0.7283851351351346,0.6249298455598459,0.5918332818532822,0.42704888461538465,0.3404084555984557,0.2967117441860466
12,12,1,イチョウ,163.9784946,0.6958446332046327,0.5916045945945945,0.5570960231660237,0.39724742307692307,0.31449250965250986,0.2726491472868218
13,13,1,イチョウ,159.6774194,0.6638418532818531,0.5558626640926642,0.520014208494208,0.3627735384615385,0.2834897297297297,0.2440601550387597
14,14,1,イチョウ,155.9139785,0.6218220077220076,0.5116558687258689,0.47293081081081045,0.3216129615384616,0.24789370656370657,0.211689031007752
15,15,1,イチョウ,151.6129032,0.5857011196911196,0.470904054054054,0.4290352123552121,0.28111076923076944,0.2120246718146719,0.17896639534883715
16,16,1,イチョウ,147.311828,0.5503849034749032,0.4333346718146718,0.38917760617760594,0.24361876923076925,0.178426833976834,0.14786445736434115
17,17,1,イチョウ,143.5483871,0.5018886100386102,0.38447119691119724,0.33935833976834023,0.2011632307692309,0.1427943629343629,0.11555096899224804
18,18,1,イチョウ,139.7849462,0.4547177992277988,0.33732501930501924,0.29103637065637056,0.16157688461538472,0.11084806949806945,0.0869787209302326
19,19,1,イチョウ,136.0215054,0.41441166023166004,0.2962586872586874,0.25086023166023197,0.12869884615384622,0.08444366795366791,0.06327891472868215
20,20,1,イチョウ,132.2580645,0.3804774903474903,0.2607570270270269,0.2168030115830118,0.0996990769230769,0.06078625482625485,0.04198550387596897
21,21,1,イチョウ,129.0322581,0.3633035907335909,0.24050810810810813,0.1972100772200773,0.08024388461538459,0.04404409266409265,0.026776744186046517
22,22,1,イチョウ,125.2688172,0.3550379536679533,0.22957227799227808,0.1871126254826255,0.06829526923076927,0.033233243243243234,0.016898449612403093
23,23,1,イチョウ,122.0430108,0.34972594594594614,0.2232041698841698,0.18152868725868715,0.06124842307692311,0.026759806949806956,0.010962751937984499
24,24,1,イチョウ,118.8172043,0.346062702702703,0.21891216216216217,0.1779905791505792,0.05656157692307693,0.022483166023166034,0.00715
25,25,1,イチョウ,115.5913978,0.3417371428571431,0.21500293436293436,0.1748957915057914,0.05293942307692304,0.019402277992277978,0.004528992248062017
26,26,1,イチョウ,112.3655914,0.33810706563706544,0.2115978378378379,0.17224467181467173,0.05024688461538462,0.017209382239382228,0.002700387596899225
27,27,1,イチョウ,109.1397849,0.33441988416988405,0.20802355212355214,0.1694526640926641,0.04796107692307692,0.01551490347490348,0.0012922093023255813
28,28,1,イチョウ,106.4516129,0.3307921235521237,0.2045740926640927,0.16675772200772213,0.046088076923076926,0.014310347490347491,0.0003537209302325575
29,29,1,イチョウ,103.2258065,0.3273026640926642,0.20135756756756756,0.16425722007722007,0.044507269230769225,0.013375019305019305,-0.000372170542635659
30,30,1,イチョウ,100.5376344,0.32457992277992276,0.19848637065637062,0.162032857142857,0.043101269230769235,0.012483050193050196,-0.0010700387596899224
31,31,1,イチョウ,97.31182796,0.3212095366795365,0.19543471042471033,0.15967239382239373,0.04166061538461537,0.011674671814671808,-0.0016375968992248058
32,32,1,イチョウ,94.62365591,0.3187184942084943,0.19288837837837836,0.15770185328185327,0.04046684615384614,0.010997104247104246,-0.002158720930232557
33,33,1,イチョウ,91.93548387,0.31612111969111995,0.19050532818532825,0.15587714285714296,0.03939923076923075,0.0104872972972973,-0.0024176356589147288
34,34,1,イチョウ,89.24731183,0.31413328185328177,0.18836173745173743,0.15424235521235513,0.03844638461538463,0.009994285714285718,-0.002735581395348838
35,35,1,イチョウ,86.55913978,0.311616023166023,0.18622393822393823,0.15258054054054043,0.03747134615384616,0.009476988416988418,-0.0030802713178294592
36,36,1,イチョウ,83.87096774,0.3089776447876448,0.18411633204633215,0.15095884169884174,0.03652142307692306,0.009031853281853281,-0.003308488372093024
37,37,1,イチョウ,81.1827957,0.30690366795366786,0.18191065637065645,0.14922382239382234,0.035493307692307685,0.008471428571428574,-0.0037349999999999987
38,38,1,イチョウ,78.49462366,0.30477077220077226,0.17975679536679545,0.1475628957528958,0.034501384615384614,0.007950270270270274,-0.004104341085271317
39,39,1,イチョウ,76.34408602,0.3025275289575288,0.1776666795366795,0.14593463320463307,0.03359065384615384,0.007505675675675673,-0.004304496124031006
40,40,1,イチョウ,74.19354839,0.30061849420849407,0.175492471042471,0.1442539382239382,0.03260523076923077,0.006974015444015444,-0.004704069767441859
41,41,1,イチョウ,71.50537634,0.2988406177606178,0.1736315444015444,0.14275305019305018,0.031730384615384626,0.006494401544401546,-0.005074999999999999
